"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Nick Ahmed","ARI","158","625","19","79","82","8","8.3%","18.1%",".183",".280",".254",".316",".437",".315",".321","91","2.2","-5.3","19.5","3.3","12147"
"Willy Adames","TBR","152","584","20","69","52","4","7.9%","26.2%",".164",".320",".254",".317",".418",".313",".320","99","2.2","1.2","11.7","3.3","15986"
"Jorge Polanco","MIN","153","704","22","107","79","4","8.5%","16.5%",".190",".328",".295",".356",".485",".352",".341","120","3.1","21.2","-12.9","3.3","13152"
"Tom Murphy","SEA","76","281","18","32","40","2","6.8%","31.0%",".262",".340",".273",".324",".535",".355",".299","126","1.3","10.7","12.5","3.2","13499"
"Christian Walker","ARI","152","603","29","86","73","8","11.1%","25.7%",".217",".312",".259",".348",".476",".346",".364","111","2.6","11.4","2.7","3.2","13419"
"Roberto Perez","CLE","119","449","24","46","63","0","10.0%","28.3%",".213",".285",".239",".321",".452",".326",".321","102","-4.1","-3.1","20.0","3.2","2900"
"Joey Gallo","TEX","70","297","22","54","49","4","17.5%","38.4%",".344",".368",".253",".389",".598",".401",".397","144","2.6","19.3","2.9","3.2","14128"
"David Fletcher","LAA","154","653","6","83","49","8","8.4%","9.8%",".094",".317",".290",".350",".384",".318",".319","96","-0.8","-3.9","12.1","3.1","17992"
"Whit Merrifield","KCR","162","735","16","105","74","20","6.1%","17.1%",".160",".350",".302",".348",".463",".340",".324","110","1.5","10.9","-5.8","3.1","11281"
"Tommy Pham","TBR","145","654","21","77","68","25","12.4%","18.8%",".176",".316",".273",".369",".450",".349",".354","123","0.6","19.9","-11.9","3.1","2967"
"Fernando Tatis Jr.","SDP","84","372","22","61","53","16","8.1%","29.6%",".272",".410",".317",".379",".590",".398",".347","151","3.0","27.9","-8.2","3.1","19709"
"Eric Sogard","- - -","110","442","13","59","40","8","8.6%","14.3%",".167",".316",".290",".353",".457",".342",".310","115","4.3","13.1","2.4","3.1","7927"
"Byron Buxton","MIN","87","295","10","48","46","14","6.4%","23.1%",".251",".314",".262",".314",".513",".340",".305","112","3.3","7.8","12.8","3.0","14161"
"Josh Bell","PIT","143","613","37","94","116","0","12.1%","19.2%",".292",".288",".277",".367",".569",".378",".386","135","-5.0","23.2","-12.8","2.9","13145"
"Eduardo Escobar","ARI","158","699","35","94","118","5","7.2%","18.6%",".242",".283",".269",".320",".511",".341",".326","108","2.9","10.5","-2.8","2.9","6153"
"Miguel Sano","MIN","105","439","34","76","79","0","12.5%","36.2%",".329",".319",".247",".346",".576",".378",".368","138","-1.4","19.7","-6.3","2.8","12164"
"Hunter Dozier","KCR","139","586","26","75","84","2","9.4%","25.3%",".243",".339",".279",".348",".522",".360",".338","123","-2.1","15.4","-7.9","2.8","15117"
"Gio Urshela","NYY","132","476","21","73","74","1","5.3%","18.3%",".219",".349",".314",".355",".534",".369",".348","132","-3.1","16.5","-5.0","2.8","10681"
"Mike Moustakas","MIL","143","584","35","80","87","3","9.1%","16.8%",".262",".250",".254",".329",".516",".348",".350","113","-2.2","7.8","2.2","2.8","4892"
"Mike Tauchman","NYY","87","296","13","46","47","6","11.5%","24.0%",".227",".333",".277",".361",".504",".364",".322","128","1.2","12.0","5.6","2.8","15274"
"Joc Pederson","LAD","149","514","36","83","74","1","9.7%","21.6%",".289",".249",".249",".339",".538",".362",".347","126","0.1","17.6","-5.7","2.7","11899"
"Niko Goodrum","DET","112","472","12","61","45","12","9.7%","29.2%",".173",".338",".248",".322",".421",".315",".303","95","6.9","3.9","7.0","2.7","12092"
"Adam Frazier","PIT","152","608","10","80","50","5","6.6%","12.3%",".139",".306",".278",".336",".417",".320",".318","97","0.7","-2.0","10.5","2.7","15223"
"Howie Kendrick","WSN","121","370","17","61","62","2","7.3%","13.2%",".228",".359",".344",".395",".572",".400",".418","147","-1.9","20.9","-4.9","2.7","4229"
"Brian Anderson","MIA","126","520","20","57","66","5","8.5%","21.9%",".207",".305",".261",".342",".468",".342",".339","114","-0.3","9.6","1.2","2.7","18289"
"Cavan Biggio","TOR","100","430","16","66","48","14","16.5%","28.6%",".195",".309",".234",".364",".429",".343",".346","115","4.9","13.0","-1.2","2.7","19252"
"Willson Contreras","CHC","105","409","24","57","64","1","9.3%","24.9%",".261",".314",".272",".355",".533",".368",".347","126","0.2","14.3","-0.1","2.6","11609"
"Mike Yastrzemski","SFG","107","411","21","64","55","2","7.8%","26.0%",".245",".325",".272",".334",".518",".353",".342","120","1.6","12.5","1.5","2.6","14854"
"Jordan Luplow","CLE","85","261","15","42","38","3","12.6%","23.4%",".276",".313",".276",".372",".551",".383",".352","141","1.3","14.9","2.7","2.6","16424"
"Eric Thames","MIL","149","459","25","67","61","3","11.1%","30.5%",".258",".313",".247",".346",".505",".354",".324","116","2.6","12.6","-1.0","2.6","3711"
"Kevin Kiermaier","TBR","129","480","14","60","55","19","5.4%","21.7%",".170",".267",".228",".278",".398",".284",".296","79","3.5","-9.3","18.2","2.5","11038"
"Edwin Encarnacion","- - -","109","486","34","81","86","0","11.9%","21.2%",".287",".239",".244",".344",".531",".362",".367","130","1.0","19.6","-11.1","2.5","2151"
"Kyle Seager","SEA","106","443","23","55","63","2","9.9%","19.4%",".229",".248",".239",".321",".468",".332",".350","111","0.5","6.5","3.4","2.5","9785"
"J.D. Davis","NYM","140","453","22","65","57","3","8.4%","21.4%",".220",".355",".307",".369",".527",".373",".386","137","-2.8","19.3","-7.9","2.5","16219"
"Nick Castellanos","- - -","151","664","27","100","73","2","6.2%","21.5%",".236",".337",".289",".337",".525",".357",".364","122","-0.5","18.3","-15.7","2.5","11737"
"Adalberto Mondesi","KCR","102","443","9","58","62","43","4.3%","29.8%",".161",".357",".263",".291",".424",".298",".284","81","6.7","-3.9","13.5","2.5","13769"
"Keston Hiura","MIL","84","348","19","51","49","9","7.2%","30.7%",".268",".402",".303",".368",".570",".388",".352","139","-0.1","17.8","-3.9","2.4","20003"
"Danny Santana","TEX","130","511","28","81","81","21","4.9%","29.5%",".251",".353",".283",".324",".534",".352",".345","111","4.6","11.6","-5.3","2.4","10322"
"Gary Sanchez","NYY","106","446","34","62","77","0","9.0%","28.0%",".293",".244",".232",".316",".525",".346",".375","116","-1.1","8.3","-0.1","2.4","11442"
"Kole Calhoun","LAA","152","632","33","92","74","4","11.1%","25.6%",".236",".265",".232",".325",".467",".330",".339","105","-1.2","2.4","-1.3","2.3","11200"
"Brandon Lowe","TBR","82","327","17","42","51","5","7.6%","34.6%",".243",".377",".270",".336",".514",".354",".341","127","5.1","16.3","-4.3","2.3","18882"
"Adam Eaton","WSN","151","656","15","103","49","15","9.9%","16.2%",".148",".319",".279",".365",".428",".342",".328","108","3.5","10.6","-7.9","2.3","11205"
"Robinson Chirinos","HOU","114","437","17","57","58","1","11.7%","28.6%",".205",".306",".238",".347",".443",".336",".316","112","-2.0","4.6","2.7","2.2","3142"
"James McCann","CHW","118","476","18","62","60","4","6.3%","28.8%",".187",".359",".273",".328",".460",".333",".326","108","0.7","5.3","0.4","2.2","12859"
"Manny Machado","SDP","156","661","32","81","85","5","9.8%","19.4%",".206",".274",".256",".334",".462",".335",".343","109","-1.7","6.3","-4.6","2.2","11493"
"Freddy Galvis","- - -","147","589","23","67","70","4","4.8%","24.6%",".178",".312",".260",".296",".438",".307",".280","89","-0.8","-9.0","11.0","2.2","6609"
"Brian Goodwin","LAA","136","458","17","65","47","7","8.3%","28.2%",".208",".337",".262",".326",".470",".332",".303","106","2.2","5.7","0.4","2.2","12858"
"Jason Heyward","CHC","147","589","21","78","62","8","11.5%","18.7%",".177",".281",".251",".343",".429",".328",".323","100","2.1","1.7","2.1","2.2","4940"
"Oscar Mercado","CLE","115","482","15","70","54","15","5.8%","17.4%",".174",".300",".269",".318",".443",".321",".308","98","3.5","2.6","2.2","2.2","16375"
"Scott Kingery","PHI","126","500","19","64","55","15","6.8%","29.4%",".216",".337",".258",".315",".474",".329",".316","100","5.3","5.5","0.7","2.2","17975"
"Hanser Alberto","BAL","139","550","12","62","51","4","2.9%","9.1%",".116",".318",".305",".329",".422",".318",".300","95","-1.7","-4.9","7.0","2.1","11902"
"Kevin Newman","PIT","130","531","12","61","64","16","5.3%","11.7%",".138",".333",".308",".353",".446",".339",".303","109","-0.2","6.3","-1.4","2.1","17696"
"Avisail Garcia","TBR","125","530","20","61","72","10","5.8%","23.6%",".182",".340",".282",".332",".464",".334",".343","113","-3.5","5.4","-2.7","2.1","5760"
"Evan Longoria","SFG","129","508","20","59","69","3","8.5%","22.0%",".183",".291",".254",".325",".437",".322",".351","100","-1.3","-1.1","6.6","2.1","9368"
"Jonathan Schoop","MIN","121","464","23","61","59","1","4.3%","25.0%",".217",".298",".256",".304",".473",".324",".314","101","-0.8","-0.2","4.9","2.1","11265"
"Alex Verdugo","LAD","106","377","12","43","44","4","6.9%","13.0%",".181",".309",".294",".342",".475",".341",".339","112","0.6","6.7","2.5","2.1","17027"
"Tyler Flowers","ATL","85","310","11","36","34","0","10.0%","33.9%",".185",".325",".229",".319",".413",".310",".289","87","-2.4","-7.8","19.0","2.1","9134"
"Ryan Braun","MIL","144","508","22","70","75","11","6.7%","20.7%",".220",".325",".285",".343",".505",".354",".339","117","-0.7","10.5","-5.7","2.0","3410"
"Marcell Ozuna","STL","130","549","29","80","89","12","11.3%","20.8%",".231",".257",".241",".328",".472",".336",".378","110","1.6","8.7","-5.3","2.0","10324"
"Amed Rosario","NYM","157","655","15","75","72","19","4.7%","18.9%",".144",".338",".287",".323",".432",".318",".317","101","1.3","2.0","-1.9","2.0","15518"
"Rhys Hoskins","PHI","160","705","29","86","85","2","16.5%","24.5%",".228",".267",".226",".364",".454",".347",".337","112","-2.7","8.5","-10.2","2.0","16472"
"Todd Frazier","NYM","133","499","21","63","67","1","8.0%","21.2%",".192",".284",".251",".329",".443",".328",".313","107","-1.6","3.1","1.9","2.0","785"
"Kyle Schwarber","CHC","155","610","38","82","92","2","11.5%","25.6%",".282",".276",".250",".339",".531",".357",".375","119","-2.3","12.8","-11.6","2.0","16478"
"Dansby Swanson","ATL","127","545","17","77","65","10","9.4%","22.8%",".172",".300",".251",".325",".422",".317",".350","91","3.9","-2.2","5.4","2.0","18314"
"Hunter Renfroe","SDP","140","494","33","64","64","5","9.3%","31.2%",".273",".239",".216",".289",".489",".320",".314","99","-0.4","-0.9","5.7","2.0","15464"
"Andrelton Simmons","LAA","103","424","7","47","40","10","5.7%","8.7%",".101",".277",".264",".309",".364",".290",".273","78","-1.7","-13.8","18.5","1.9","10847"
"Jackie Bradley Jr.","BOS","147","567","21","69","62","8","9.9%","27.3%",".196",".281",".225",".317",".421",".314",".316","89","0.5","-7.1","6.5","1.9","12984"
"Yasiel Puig","- - -","149","611","24","76","84","19","7.2%","21.8%",".191",".308",".267",".327",".458",".330",".328","100","-0.9","-0.8","0.2","1.9","14225"
"Starlin Castro","MIA","162","676","22","68","86","2","4.1%","16.4%",".165",".293",".270",".300",".436",".307",".314","91","-4.2","-12.2","10.2","1.9","4579"
"Omar Narvaez","SEA","132","482","22","63","55","0","9.8%","19.1%",".182",".306",".278",".353",".460",".345",".330","120","-1.5","10.6","-8.5","1.9","13338"
"Ji-Man Choi","TBR","127","487","19","54","63","2","13.1%","22.2%",".198",".303",".261",".363",".459",".348",".365","122","0.8","14.8","-13.0","1.9","5452"
"David Bote","CHC","127","356","11","47","41","5","12.4%","26.1%",".165",".333",".257",".362",".422",".336",".319","105","2.4","4.6","3.4","1.9","14593"
"Chris Taylor","LAD","124","414","12","52","52","8","8.9%","27.8%",".199",".344",".262",".333",".462",".331",".299","106","2.5","5.6","0.3","1.9","13757"
"Asdrubal Cabrera","- - -","131","514","18","69","91","4","11.1%","20.0%",".181",".294",".260",".342",".441",".331",".317","98","-4.2","-5.2","6.4","1.9","4962"
"Elvis Andrus","TEX","147","648","12","81","72","31","5.2%","14.8%",".118",".305",".275",".313",".393",".300",".311","76","3.5","-16.5","12.2","1.9","8709"
"Jose Iglesias","CIN","146","530","11","62","59","6","3.8%","13.2%",".119",".315",".288",".318",".407",".306",".284","82","-1.9","-14.7","16.9","1.9","10231"
"Lourdes Gurriel Jr.","TOR","84","343","20","52","50","6","5.8%","25.1%",".264",".318",".277",".327",".541",".358",".340","125","0.6","11.5","-4.9","1.8","19238"
"Luis Arraez","MIN","92","366","4","54","28","2","9.8%","7.9%",".104",".355",".334",".399",".439",".360",".334","126","1.8","13.7","-8.1","1.8","18568"
"Carson Kelly","ARI","111","365","18","46","47","0","13.2%","21.6%",".232",".271",".245",".348",".478",".339",".340","107","-1.9","1.5","5.6","1.8","13620"
"Andrew Benintendi","BOS","138","615","13","72","68","10","9.6%","22.8%",".165",".333",".266",".343",".431",".330",".339","100","2.7","2.9","-6.5","1.8","17901"
"Buster Posey","SFG","114","445","7","43","38","0","7.6%","16.0%",".111",".296",".257",".320",".368",".298",".310","84","-4.9","-14.2","18.6","1.8","9166"
"Hunter Pence","TEX","83","316","18","53","59","6","8.2%","21.8%",".255",".333",".297",".358",".552",".377",".364","128","3.3","14.6","-7.8","1.8","8252"
"Leury Garcia","CHW","140","618","8","93","40","15","3.4%","22.5%",".099",".353",".279",".310",".378",".294",".272","82","5.6","-8.8","4.4","1.7","5913"
"Cameron Maybin","NYY","82","269","11","48","32","9","11.2%","26.8%",".209",".365",".285",".364",".494",".362",".339","128","0.7","10.3","-2.3","1.7","5223"
"Matt Carpenter","STL","129","492","15","59","46","6","12.8%","26.2%",".166",".285",".226",".334",".392",".315",".323","96","0.2","-2.2","4.1","1.7","8090"
"Shohei Ohtani","LAA","106","425","18","51","62","12","7.8%","25.9%",".219",".354",".286",".343",".505",".352",".354","120","1.4","12.1","-9.9","1.7","19755"
"Tommy La Stella","LAA","80","321","16","49","44","0","6.2%","8.7%",".192",".282",".295",".346",".486",".351",".355","119","-0.1","7.7","-1.8","1.7","12371"
"Harrison Bader","STL","128","406","12","54","39","11","11.3%","28.8%",".161",".268",".205",".314",".366",".293",".314","82","0.7","-8.8","13.3","1.7","18030"
"Jon Berti","MIA","73","287","6","52","24","17","8.4%","25.4%",".133",".360",".273",".348",".406",".326",".317","104","6.4","8.0","0.1","1.7","12037"
"Charlie Blackmon","COL","140","634","32","112","86","2","6.3%","16.4%",".262",".334",".314",".364",".576",".387",".367","127","-4.5","17.8","-20.9","1.7","7859"
"David Dahl","COL","100","413","15","67","61","4","6.8%","26.6%",".222",".386",".302",".353",".524",".364",".342","111","0.6","6.8","-3.0","1.7","13744"
"Jason Castro","MIN","79","275","13","39","30","0","12.0%","32.0%",".203",".307",".232",".332",".435",".328",".363","103","-0.8","0.5","6.7","1.7","8722"
"Jean Segura","PHI","144","618","12","79","60","10","4.9%","11.8%",".141",".302",".280",".323",".420",".315",".310","91","5.7","-1.5","-1.3","1.7","5933"
"Marwin Gonzalez","MIN","114","463","15","52","55","1","6.7%","21.2%",".151",".310",".264",".322",".414",".313",".323","94","0.4","-3.4","3.7","1.6","5497"
"Jose Abreu","CHW","159","693","33","85","123","2","5.2%","21.9%",".219",".320",".284",".330",".503",".344",".358","115","-5.3","8.3","-16.6","1.6","15676"
"Travis d'Arnaud","- - -","103","391","16","52","69","0","8.2%","21.7%",".182",".281",".251",".312",".433",".314",".335","100","-1.1","-1.5","4.1","1.6","7739"
"Yandy Diaz","TBR","79","347","14","53","38","2","10.1%","17.6%",".208",".288",".267",".340",".476",".341",".355","118","-0.2","7.7","-3.7","1.6","16578"
"Manuel Margot","SDP","151","441","12","59","37","20","8.6%","20.0%",".153",".272",".234",".304",".387",".296",".276","84","5.0","-4.6","6.8","1.6","14712"
"Garrett Cooper","MIA","107","421","15","52","50","0","7.8%","26.1%",".165",".357",".281",".344",".446",".337",".345","111","-2.8","3.1","-0.5","1.6","15279"
"Wilson Ramos","NYM","141","524","14","52","73","1","8.4%","13.2%",".129",".310",".288",".351",".416",".327",".314","106","-5.8","-1.4","-0.1","1.5","1433"
"Austin Hedges","SDP","102","347","11","28","36","1","7.8%","31.4%",".135",".228",".176",".252",".311",".242",".267","49","0.1","-23.5","27.6","1.5","12976"
"Luke Voit","NYY","118","510","21","72","62","0","13.9%","27.8%",".200",".345",".263",".378",".464",".360",".365","126","-3.8","13.1","-16.4","1.5","14811"
"Wilmer Flores","ARI","89","285","9","31","37","0","5.3%","10.9%",".170",".332",".317",".361",".487",".358",".331","120","-1.9","5.5","0.5","1.5","5827"
"Cesar Hernandez","PHI","161","667","14","77","71","9","6.7%","15.0%",".129",".313",".279",".333",".408",".315",".302","91","1.5","-6.2","-0.1","1.5","10556"
"Danny Jansen","TOR","107","384","13","41","43","0","8.1%","20.6%",".153",".230",".207",".279",".360",".275",".315","69","-0.6","-16.0","17.0","1.4","16535"
"Eloy Jimenez","CHW","122","504","31","69","79","0","6.0%","26.6%",".246",".308",".267",".315",".513",".343",".347","115","1.8","11.3","-14.8","1.4","17484"
"Aristides Aquino","CIN","56","225","19","31","47","7","7.1%","26.7%",".317",".266",".259",".316",".576",".360",".334","117","1.6","6.6","0.8","1.4","15482"
